method,round,elapsed_seconds,val_macro_f1,val_accuracy,n_estimators,max_depth,min_samples_leaf,min_samples_split,max_features,ccp_alpha,tree_count,avg_tree_depth,max_tree_depth,total_nodes,avg_nodes
grid,1,0.2974833339976612,0.9108775421824004,0.912280701754386,217,16.0,1,2,log2,0.0001,217,16.0,16,117783,542.778801843318
grid,1,0.3327002080040984,0.9108775421824004,0.912280701754386,217,16.0,1,2,log2,1e-05,217,16.0,16,117893,543.2857142857143
grid,1,0.2983951659989543,0.9108775421824004,0.912280701754386,217,16.0,1,2,log2,0.0,217,16.0,16,125019,576.1244239631336
grid,1,0.0941602910024812,0.910864080875332,0.912280701754386,50,,1,7,sqrt,0.0001,50,23.98,32,17756,355.12
grid,1,0.0914550409943331,0.910864080875332,0.912280701754386,50,,1,7,sqrt,1e-05,50,24.0,32,17846,356.92
grid,1,0.0959573750005802,0.910864080875332,0.912280701754386,50,,1,7,sqrt,0.0,50,24.02,32,18432,368.64
grid,1,0.0951288750075036,0.910824902513182,0.912280701754386,50,16.0,1,10,sqrt,0.0001,50,16.0,16,13432,268.64
grid,1,0.0916678339999634,0.910824902513182,0.912280701754386,50,16.0,1,10,sqrt,1e-05,50,16.0,16,13534,270.68
grid,1,0.0938767909974558,0.910824902513182,0.912280701754386,50,16.0,1,10,sqrt,0.0,50,16.0,16,14038,280.76
grid,1,0.3465237079944927,0.9106839190551186,0.912280701754386,217,16.0,1,7,sqrt,0.0001,217,16.0,16,67755,312.2350230414747
grid,1,0.3374745000037364,0.9106839190551186,0.912280701754386,217,16.0,1,7,sqrt,1e-05,217,16.0,16,68105,313.8479262672811
grid,1,0.3312453329999698,0.9106839190551186,0.912280701754386,217,16.0,1,7,sqrt,0.0,217,16.0,16,70545,325.0921658986175
grid,1,0.209802541998215,0.910468154427759,0.912280701754386,133,16.0,1,7,sqrt,0.0001,133,16.0,16,41449,311.6466165413534
grid,1,0.2072174999921117,0.910468154427759,0.912280701754386,133,16.0,1,7,sqrt,1e-05,133,16.0,16,41671,313.3157894736842
grid,1,0.2027954160002991,0.910468154427759,0.912280701754386,133,16.0,1,7,sqrt,0.0,133,16.0,16,43107,324.1127819548872
grid,1,0.2610538750013802,0.9099048470624922,0.9103313840155944,50,20.0,1,10,0.5,0.0001,50,20.0,20,9862,197.24
grid,1,0.2667551250051474,0.9099048470624922,0.9103313840155944,50,20.0,1,10,0.5,1e-05,50,20.0,20,9874,197.48
grid,1,0.2656014169915579,0.9099048470624922,0.9103313840155944,50,20.0,1,10,0.5,0.0,50,20.0,20,10336,206.72
grid,1,0.2694353330007288,0.9093051010630104,0.9103313840155944,50,,1,10,0.5,0.0001,50,28.48,36,11330,226.6
grid,1,0.2728721250023227,0.9093051010630104,0.9103313840155944,50,,1,10,0.5,1e-05,50,28.52,36,11350,227.0
grid,1,0.263412291998975,0.9093051010630104,0.9103313840155944,50,,1,10,0.5,0.0,50,28.54,36,11828,236.56
grid,1,0.0816415419976692,0.9092364190265272,0.9103313840155944,50,16.0,1,2,log2,0.0001,50,16.0,16,26368,527.36
grid,1,0.0807817080058157,0.9092364190265272,0.9103313840155944,50,16.0,1,2,log2,1e-05,50,16.0,16,26400,528.0
grid,1,0.0829294580034911,0.9092364190265272,0.9103313840155944,50,16.0,1,2,log2,0.0,50,16.0,16,27946,558.92
grid,1,0.6184017499908805,0.9089756156717528,0.9083820662768032,133,16.0,1,2,0.5,0.0001,133,16.0,16,30507,229.37593984962405
grid,1,0.6225969999941299,0.9089756156717528,0.9083820662768032,133,16.0,1,2,0.5,1e-05,133,16.0,16,30509,229.39097744360905
grid,1,0.6171708339970792,0.9089756156717528,0.9083820662768032,133,16.0,1,2,0.5,0.0,133,16.0,16,32649,245.4812030075188
grid,1,0.0971087080106372,0.9087150879181942,0.9103313840155944,50,20.0,1,5,sqrt,0.001,50,19.42,20,14246,284.92
grid,1,0.2126964579947525,0.9086730229379792,0.9103313840155944,133,20.0,1,5,sqrt,0.001,133,19.55639097744361,20,38159,286.90977443609023
grid,1,0.2200807079934748,0.9086249429473592,0.9103313840155944,133,,1,5,sqrt,0.001,133,21.56390977443609,32,39137,294.2631578947368
grid,1,0.9930970420100492,0.9080570645229674,0.9083820662768032,217,16.0,1,2,0.5,0.0001,217,16.0,16,50187,231.27649769585253
grid,1,1.0044756659917766,0.9080570645229674,0.9083820662768032,217,16.0,1,2,0.5,1e-05,217,16.0,16,50191,231.29493087557603
grid,1,0.9837502909940667,0.9080570645229674,0.9083820662768032,217,16.0,1,2,0.5,0.0,217,16.0,16,53805,247.94930875576037
grid,1,0.1832504170015454,0.907388187973597,0.9083820662768032,133,16.0,1,7,log2,0.0001,133,15.992481203007518,16,48201,362.4135338345865
grid,1,0.188440708006965,0.907388187973597,0.9083820662768032,133,16.0,1,7,log2,1e-05,133,15.992481203007518,16,48575,365.2255639097745
grid,1,0.1841612919961335,0.907388187973597,0.9083820662768032,133,16.0,1,7,log2,0.0,133,15.992481203007518,16,50073,376.4887218045113
grid,1,0.3482737919985084,0.9072467361622188,0.9083820662768032,217,16.0,1,5,sqrt,0.001,217,15.981566820276498,16,56777,261.64516129032256
grid,1,0.1905087909981375,0.907204835011598,0.9083820662768032,133,20.0,1,5,log2,0.0001,133,19.902255639097746,20,60515,455.0
grid,1,0.1802351249934872,0.907204835011598,0.9083820662768032,133,20.0,1,5,log2,1e-05,133,19.902255639097746,20,60755,456.8045112781955
grid,1,0.1782952079956885,0.907204835011598,0.9083820662768032,133,20.0,1,5,log2,0.0,133,19.902255639097746,20,63141,474.74436090225566
grid,1,0.0945252499950584,0.9070211905663046,0.9083820662768032,50,12.0,1,5,sqrt,0.0001,50,12.0,12,12124,242.48
grid,1,0.0961107079929206,0.9070211905663046,0.9083820662768032,50,12.0,1,5,sqrt,1e-05,50,12.0,12,12156,243.12
grid,1,0.0922832079959334,0.9070211905663046,0.9083820662768032,50,12.0,1,5,sqrt,0.0,50,12.0,12,12610,252.2
grid,1,0.0819897080073133,0.9070066359941956,0.9083820662768032,50,16.0,1,7,log2,0.0001,50,16.0,16,17806,356.12
grid,1,0.0809153330046683,0.9070066359941956,0.9083820662768032,50,16.0,1,7,log2,1e-05,50,16.0,16,17934,358.68
grid,1,0.0811012919875793,0.9070066359941956,0.9083820662768032,50,16.0,1,7,log2,0.0,50,16.0,16,18488,369.76
grid,1,0.0923234579968266,0.9068395140992276,0.9083820662768032,50,12.0,1,2,sqrt,0.001,50,12.0,12,10200,204.0
grid,1,0.6159720409923466,0.9065273026399971,0.9064327485380116,133,16.0,1,10,0.5,0.0001,133,16.0,16,21401,160.90977443609023
grid,1,0.6133648749964777,0.9065273026399971,0.9064327485380116,133,16.0,1,10,0.5,1e-05,133,16.0,16,21419,161.04511278195488
grid,1,0.6118400409905007,0.9065273026399971,0.9064327485380116,133,16.0,1,10,0.5,0.0,133,16.0,16,22481,169.0300751879699
grid,1,0.2785124579968396,0.9065073367292408,0.9083820662768032,50,,1,2,0.5,0.001,50,27.72,34,11166,223.32
grid,1,0.0949700829951325,0.9064368837421772,0.9083820662768032,50,,1,2,sqrt,0.001,50,21.58,29,15098,301.96
grid,1,0.0970992920047137,0.9063846238521184,0.9083820662768032,50,16.0,1,10,sqrt,0.001,50,15.98,16,10914,218.28
grid,1,0.991849291996914,0.9059684659131584,0.9064327485380116,217,16.0,1,7,0.5,0.0001,217,16.0,16,38057,175.3778801843318
grid,1,1.0221215409983415,0.9059684659131584,0.9064327485380116,217,16.0,1,7,0.5,1e-05,217,16.0,16,38075,175.46082949308754
grid,1,0.9928886249981588,0.9059684659131584,0.9064327485380116,217,16.0,1,7,0.5,0.0,217,16.0,16,40039,184.5115207373272
grid,1,0.6554737090045819,0.9058019109284168,0.9083820662768032,133,,1,10,0.5,0.001,133,26.849624060150376,35,24577,184.78947368421052
