method,round,elapsed_seconds,val_macro_f1,val_accuracy,n_estimators,max_depth,min_samples_leaf,min_samples_split,max_features,ccp_alpha,tree_count,avg_tree_depth,max_tree_depth,total_nodes,avg_nodes
grid,1,0.2011409169936087,0.9114746034852247,0.9122807017543859,133,16.0,1,2,log2,1e-05,133,16.0,16,72121,542.2631578947369
grid,1,0.19813283400435466,0.9114746034852247,0.9122807017543859,133,16.0,1,2,log2,0.0,133,16.0,16,76441,574.7443609022556
grid,1,0.19062266699620523,0.9114132410872943,0.9122807017543859,133,20.0,1,7,log2,0.0001,133,19.646616541353385,20,52877,397.57142857142856
grid,1,0.18232829199405387,0.9114132410872943,0.9122807017543859,133,20.0,1,7,log2,1e-05,133,19.646616541353385,20,53311,400.83458646616543
grid,1,0.18781270801264327,0.9114132410872943,0.9122807017543859,133,20.0,1,7,log2,0.0,133,19.646616541353385,20,55059,413.97744360902254
grid,1,0.29778591700596735,0.911331172678272,0.9122807017543859,217,16.0,1,7,log2,0.0001,217,15.990783410138249,16,78507,361.7834101382488
grid,1,0.3055460000032326,0.911331172678272,0.9122807017543859,217,16.0,1,7,log2,1e-05,217,15.990783410138249,16,79105,364.53917050691246
grid,1,0.293882666999707,0.911331172678272,0.9122807017543859,217,16.0,1,7,log2,0.0,217,15.990783410138249,16,81557,375.83870967741933
grid,1,0.09339324999018572,0.9112129682771951,0.9122807017543859,50,,1,2,log2,1e-05,50,24.48,31,31512,630.24
grid,1,0.09319200000027195,0.9112129682771951,0.9122807017543859,50,,1,2,log2,0.0001,50,24.48,31,31512,630.24
grid,1,0.08280504100548569,0.9112129682771951,0.9122807017543859,50,,1,2,log2,0.0,50,24.54,31,33528,670.56
grid,1,0.09305383400351275,0.9111528246276013,0.9122807017543859,50,16.0,1,7,sqrt,0.0001,50,16.0,16,15100,302.0
grid,1,0.3380430000106571,0.9110566280302198,0.9122807017543859,217,16.0,1,10,sqrt,0.0001,217,15.990783410138249,16,59467,274.0414746543779
grid,1,0.34581229199829977,0.9110566280302198,0.9122807017543859,217,16.0,1,10,sqrt,1e-05,217,15.995391705069125,16,59923,276.14285714285717
grid,1,0.33211558300536126,0.9110566280302198,0.9122807017543859,217,16.0,1,10,sqrt,0.0,217,15.995391705069125,16,61999,285.7096774193548
grid,1,0.29748333399766125,0.9108775421824004,0.9122807017543859,217,16.0,1,2,log2,0.0001,217,16.0,16,117783,542.778801843318
grid,1,0.3327002080040984,0.9108775421824004,0.9122807017543859,217,16.0,1,2,log2,1e-05,217,16.0,16,117893,543.2857142857143
grid,1,0.2983951659989543,0.9108775421824004,0.9122807017543859,217,16.0,1,2,log2,0.0,217,16.0,16,125019,576.1244239631336
grid,1,0.09416029100248124,0.910864080875332,0.9122807017543859,50,,1,7,sqrt,0.0001,50,23.98,32,17756,355.12
grid,1,0.0914550409943331,0.910864080875332,0.9122807017543859,50,,1,7,sqrt,1e-05,50,24.0,32,17846,356.92
grid,1,0.09595737500058021,0.910864080875332,0.9122807017543859,50,,1,7,sqrt,0.0,50,24.02,32,18432,368.64
grid,1,0.09512887500750367,0.9108249025131819,0.9122807017543859,50,16.0,1,10,sqrt,0.0001,50,16.0,16,13432,268.64
grid,1,0.09166783399996348,0.9108249025131819,0.9122807017543859,50,16.0,1,10,sqrt,1e-05,50,16.0,16,13534,270.68
grid,1,0.09387679099745583,0.9108249025131819,0.9122807017543859,50,16.0,1,10,sqrt,0.0,50,16.0,16,14038,280.76
grid,1,0.3465237079944927,0.9106839190551186,0.9122807017543859,217,16.0,1,7,sqrt,0.0001,217,16.0,16,67755,312.2350230414747
grid,1,0.33747450000373647,0.9106839190551186,0.9122807017543859,217,16.0,1,7,sqrt,1e-05,217,16.0,16,68105,313.8479262672811
grid,1,0.33124533299996983,0.9106839190551186,0.9122807017543859,217,16.0,1,7,sqrt,0.0,217,16.0,16,70545,325.0921658986175
grid,1,0.20980254199821502,0.910468154427759,0.9122807017543859,133,16.0,1,7,sqrt,0.0001,133,16.0,16,41449,311.6466165413534
grid,1,0.2072174999921117,0.910468154427759,0.9122807017543859,133,16.0,1,7,sqrt,1e-05,133,16.0,16,41671,313.3157894736842
grid,1,0.20279541600029916,0.910468154427759,0.9122807017543859,133,16.0,1,7,sqrt,0.0,133,16.0,16,43107,324.1127819548872
grid,1,0.2610538750013802,0.9099048470624922,0.9103313840155945,50,20.0,1,10,0.5,0.0001,50,20.0,20,9862,197.24
grid,1,0.2667551250051474,0.9099048470624922,0.9103313840155945,50,20.0,1,10,0.5,1e-05,50,20.0,20,9874,197.48
grid,1,0.2656014169915579,0.9099048470624922,0.9103313840155945,50,20.0,1,10,0.5,0.0,50,20.0,20,10336,206.72
grid,1,0.26943533300072886,0.9093051010630103,0.9103313840155945,50,,1,10,0.5,0.0001,50,28.48,36,11330,226.6
grid,1,0.2728721250023227,0.9093051010630103,0.9103313840155945,50,,1,10,0.5,1e-05,50,28.52,36,11350,227.0
grid,1,0.263412291998975,0.9093051010630103,0.9103313840155945,50,,1,10,0.5,0.0,50,28.54,36,11828,236.56
grid,1,0.08164154199766926,0.9092364190265273,0.9103313840155945,50,16.0,1,2,log2,0.0001,50,16.0,16,26368,527.36
grid,1,0.08078170800581574,0.9092364190265273,0.9103313840155945,50,16.0,1,2,log2,1e-05,50,16.0,16,26400,528.0
grid,1,0.08292945800349116,0.9092364190265273,0.9103313840155945,50,16.0,1,2,log2,0.0,50,16.0,16,27946,558.92
grid,1,0.6184017499908805,0.9089756156717527,0.9083820662768031,133,16.0,1,2,0.5,0.0001,133,16.0,16,30507,229.37593984962405
grid,1,0.6225969999941299,0.9089756156717527,0.9083820662768031,133,16.0,1,2,0.5,1e-05,133,16.0,16,30509,229.39097744360902
grid,1,0.6171708339970792,0.9089756156717527,0.9083820662768031,133,16.0,1,2,0.5,0.0,133,16.0,16,32649,245.4812030075188
grid,1,0.0971087080106372,0.9087150879181942,0.9103313840155945,50,20.0,1,5,sqrt,0.001,50,19.42,20,14246,284.92
grid,1,0.21269645799475256,0.9086730229379792,0.9103313840155945,133,20.0,1,5,sqrt,0.001,133,19.55639097744361,20,38159,286.90977443609023
grid,1,0.2200807079934748,0.9086249429473591,0.9103313840155945,133,,1,5,sqrt,0.001,133,21.56390977443609,32,39137,294.2631578947368
grid,1,0.9930970420100493,0.9080570645229674,0.9083820662768031,217,16.0,1,2,0.5,0.0001,217,16.0,16,50187,231.27649769585253
grid,1,1.0044756659917766,0.9080570645229674,0.9083820662768031,217,16.0,1,2,0.5,1e-05,217,16.0,16,50191,231.29493087557603
grid,1,0.9837502909940667,0.9080570645229674,0.9083820662768031,217,16.0,1,2,0.5,0.0,217,16.0,16,53805,247.94930875576037
grid,1,0.18325041700154543,0.907388187973597,0.9083820662768031,133,16.0,1,7,log2,0.0001,133,15.992481203007518,16,48201,362.4135338345865
grid,1,0.188440708006965,0.907388187973597,0.9083820662768031,133,16.0,1,7,log2,1e-05,133,15.992481203007518,16,48575,365.22556390977445
grid,1,0.1841612919961335,0.907388187973597,0.9083820662768031,133,16.0,1,7,log2,0.0,133,15.992481203007518,16,50073,376.4887218045113
grid,1,0.3482737919985084,0.9072467361622187,0.9083820662768031,217,16.0,1,5,sqrt,0.001,217,15.981566820276498,16,56777,261.64516129032256
grid,1,0.19050879099813756,0.9072048350115981,0.9083820662768031,133,20.0,1,5,log2,0.0001,133,19.902255639097746,20,60515,455.0
grid,1,0.18023512499348726,0.9072048350115981,0.9083820662768031,133,20.0,1,5,log2,1e-05,133,19.902255639097746,20,60755,456.8045112781955
grid,1,0.17829520799568854,0.9072048350115981,0.9083820662768031,133,20.0,1,5,log2,0.0,133,19.902255639097746,20,63141,474.74436090225566
grid,1,0.0945252499950584,0.9070211905663046,0.9083820662768031,50,12.0,1,5,sqrt,0.0001,50,12.0,12,12124,242.48
grid,1,0.09611070799292065,0.9070211905663046,0.9083820662768031,50,12.0,1,5,sqrt,1e-05,50,12.0,12,12156,243.12
grid,1,0.09228320799593348,0.9070211905663046,0.9083820662768031,50,12.0,1,5,sqrt,0.0,50,12.0,12,12610,252.2
